strain	enterobacterales__species__species	enterobacterales__species__species_match	general__contig_stats__contig_count	general__contig_stats__N50	general__contig_stats__largest_contig	general__contig_stats__total_size	general__contig_stats__ambiguous_bases	general__contig_stats__QC_warnings	klebsiella_pneumo_complex__mlst__ST	klebsiella_pneumo_complex__mlst__gapA	klebsiella_pneumo_complex__mlst__infB	klebsiella_pneumo_complex__mlst__mdh	klebsiella_pneumo_complex__mlst__pgi	klebsiella_pneumo_complex__mlst__phoE	klebsiella_pneumo_complex__mlst__rpoB	klebsiella_pneumo_complex__mlst__tonB	klebsiella__ybst__YbST	klebsiella__ybst__Yersiniabactin	klebsiella__ybst__ybtS	klebsiella__ybst__ybtX	klebsiella__ybst__ybtQ	klebsiella__ybst__ybtP	klebsiella__ybst__ybtA	klebsiella__ybst__irp2	klebsiella__ybst__irp1	klebsiella__ybst__ybtU	klebsiella__ybst__ybtT	klebsiella__ybst__ybtE	klebsiella__ybst__fyuA	klebsiella__ybst__spurious_ybt_hits	klebsiella__cbst__CbST	klebsiella__cbst__Colibactin	klebsiella__cbst__clbA	klebsiella__cbst__clbB	klebsiella__cbst__clbC	klebsiella__cbst__clbD	klebsiella__cbst__clbE	klebsiella__cbst__clbF	klebsiella__cbst__clbG	klebsiella__cbst__clbH	klebsiella__cbst__clbI	klebsiella__cbst__clbL	klebsiella__cbst__clbM	klebsiella__cbst__clbN	klebsiella__cbst__clbO	klebsiella__cbst__clbP	klebsiella__cbst__clbQ	klebsiella__cbst__spurious_clb_hits	klebsiella__abst__AbST	klebsiella__abst__Aerobactin	klebsiella__abst__iucA	klebsiella__abst__iucB	klebsiella__abst__iucC	klebsiella__abst__iucD	klebsiella__abst__iutA	klebsiella__abst__spurious_abst_hits	klebsiella__smst__SmST	klebsiella__smst__Salmochelin	klebsiella__smst__iroB	klebsiella__smst__iroC	klebsiella__smst__iroD	klebsiella__smst__iroN	klebsiella__smst__spurious_smst_hits	klebsiella__rmst__RmST	klebsiella__rmst__RmpADC	klebsiella__rmst__rmpA	klebsiella__rmst__rmpD	klebsiella__rmst__rmpC	klebsiella__rmst__spurious_rmst_hits	klebsiella_pneumo_complex__virulence_score__virulence_score	klebsiella_pneumo_complex__virulence_score__spurious_virulence_hits	klebsiella__rmpa2__rmpA2	klebsiella_pneumo_complex__amr__AGly_acquired	klebsiella_pneumo_complex__amr__Col_acquired	klebsiella_pneumo_complex__amr__Fcyn_acquired	klebsiella_pneumo_complex__amr__Flq_acquired	klebsiella_pneumo_complex__amr__Gly_acquired	klebsiella_pneumo_complex__amr__MLS_acquired	klebsiella_pneumo_complex__amr__Phe_acquired	klebsiella_pneumo_complex__amr__Rif_acquired	klebsiella_pneumo_complex__amr__Sul_acquired	klebsiella_pneumo_complex__amr__Tet_acquired	klebsiella_pneumo_complex__amr__Tgc_acquired	klebsiella_pneumo_complex__amr__Tmt_acquired	klebsiella_pneumo_complex__amr__Bla_acquired	klebsiella_pneumo_complex__amr__Bla_inhR_acquired	klebsiella_pneumo_complex__amr__Bla_ESBL_acquired	klebsiella_pneumo_complex__amr__Bla_ESBL_inhR_acquired	klebsiella_pneumo_complex__amr__Bla_Carb_acquired	klebsiella_pneumo_complex__amr__Bla_chr	klebsiella_pneumo_complex__amr__SHV_mutations	klebsiella_pneumo_complex__amr__Omp_mutations	klebsiella_pneumo_complex__amr__Col_mutations	klebsiella_pneumo_complex__amr__Flq_mutations	klebsiella_pneumo_complex__amr__truncated_resistance_hits	klebsiella_pneumo_complex__amr__spurious_resistance_hits	klebsiella_pneumo_complex__resistance_score__resistance_score	klebsiella_pneumo_complex__resistance_class_count__num_resistance_classes	klebsiella_pneumo_complex__resistance_gene_count__num_resistance_genes	klebsiella_pneumo_complex__wzi__wzi	klebsiella_pneumo_complex__kaptive__K_locus	klebsiella_pneumo_complex__kaptive__K_type	klebsiella_pneumo_complex__kaptive__K_locus_confidence	klebsiella_pneumo_complex__kaptive__K_locus_problems	klebsiella_pneumo_complex__kaptive__K_locus_identity	klebsiella_pneumo_complex__kaptive__K_Missing_expected_genes	klebsiella_pneumo_complex__kaptive__O_locus	klebsiella_pneumo_complex__kaptive__O_type	klebsiella_pneumo_complex__kaptive__O_locus_confidence	klebsiella_pneumo_complex__kaptive__O_locus_problems	klebsiella_pneumo_complex__kaptive__O_locus_identity	klebsiella_pneumo_complex__kaptive__O_Missing_expected_genes
925Kp.assembly	Klebsiella pneumoniae	strong	134	208194	670397	5642876	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
930Kp.assembly	Klebsiella pneumoniae	strong	141	211821	670397	5643929	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?13	99.07%	-	OL3α/β	O3αβ	Typeable	?14	99.74%	-
937Kp.assembly	Klebsiella pneumoniae	strong	131	211826	670397	5642843	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
953Kp.assembly	Klebsiella pneumoniae	strong	148	205531	665987	5642471	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?13	99.07%	-	OL3α/β	O3αβ	Typeable	?14	99.74%	-
954Kp.assembly	Klebsiella pneumoniae	strong	140	211989	613699	5642880	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
959Kp.assembly	Klebsiella pneumoniae	strong	143	205531	670397	5643247	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?12	99.07%	-	OL3α/β	O3αβ	Typeable	?13	99.73%	-
964Kp.assembly	Klebsiella pneumoniae	strong	137	214405	406780	5642321	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
965Kp.assembly	Klebsiella pneumoniae	strong	127	212029	670397	5643147	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
966Kp.assembly	Klebsiella pneumoniae	strong	123	229962	399085	5661698	no	-	ST147	3	4	6	1	7	4	38	584-2LV	ybt 9; ICEKp?	5	11	6	5	1	293	318	9	5	142	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(6')-Ib-cr.v2;aph3-Ia.v1^;armA	-	-	qnrS1	-	Mrx;mphA*;mphE.v2;msrE	catB3.v2	arr-3	sul1;sul2	-	-	dfrA5	OXA-1	-	CTX-M-15	-	NDM-5;OXA-48	SHV-11^	35Q	OmpK35-25%;OmpK36GD	-	GyrA-83I;ParC-80I	aph(3')-VI?-86%	-	2	10	17	wzi104	KL51	K51	Typeable	!	99.70%	-	OL2α.2	O2β	Typeable	-	99.05%	-
967Kp.assembly	Klebsiella pneumoniae	strong	129	245450	670397	5643934	no	-	ST147	3	4	6	1	7	4	38	78-1LV	ybt 10; ICEKp4	3	12	4	11	3	21	18	3	10	16*	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aadA2^;aph(3')-VI;armA	-	-	-	-	Mrx;mphA;mphE.v2^;msrE	-	-	sul1	tet(A).v1	-	dfrA12	-	-	-	-	NDM-1;OXA-48	SHV-11^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87A;ParC-80I	CTX-M-15?-0%	-	2	7	12	wzi420	KL10	K10	Typeable	?10	98.94%	-	OL3α/β	O3αβ	Typeable	?11	99.64%	-
